Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Application),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Environment),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Results),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Incident manager),Custom field (Issue color),Custom field (Locked forms),Custom field (Module),Custom field (Open forms),Custom field (Platform),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Severity),Custom field (Start date),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (User Story),Custom field (Version),Custom field (Vulnerability),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Status Category,Status Category Changed
"[High] Export to Excel/CSV/PDF, Print, and Copy on the Report page are all unimplemented stubs",AS-187,11270,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 6:20 PM,08/Sep/26 6:01 PM,,,0,export,functional,print,report,trackofy,video-telematics,,,,,,"All 5 export-area buttons on the Report page only console.log the label and current row data; none downloads a file, opens a print dialog, writes to clipboard, or shows any user-facing feedback.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"None of the 5 actions does anything beyond a console.log of the label and row data -- no download, no print dialog, no clipboard write, and no visible feedback for any of them.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"Each action should perform its labeled function (download a file, open print dialog, or copy to clipboard) with user feedback.",,,,,,,Video Telematics - Report,,Web,,,0|i000n7:,,,High,,"1. Open Video Telematics > Report and generate a report.
2. Click each of Export to Excel, Export to CSV, Export to PDF, Print, and Copy in turn.
3. Observe any resulting download/dialog/clipboard/feedback.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"[Medium] Report page's Notification filter has no 'Skipped' option, even though SKIPPED is a common real value in the table",AS-186,11269,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 6:06 PM,08/Sep/26 6:06 PM,,,0,data-consistency,filter,report,trackofy,video-telematics,,,,,,,"The Notification filter offers All/Sent/Pending/Failed but no Skipped, while the report table's own Notification column routinely shows SKIPPED as the most common real value.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"No 'Skipped' filter option exists, despite most real rows in a default report showing SKIPPED as their Notification value.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The filter's options should cover the real values present in the data, including Skipped.",,,,,,,Video Telematics - Report,,Web,,,0|i000mz:,,,Low,,"1. Open Video Telematics > Report.
2. Open the Notification filter dropdown.
3. Compare its options against the values actually shown in the table's Notification column.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
[Medium] Update Video Alert dialog: 5 of 7 fields are pre-filled correctly but cannot actually be changed,AS-185,11268,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 12:25 PM,,,,0,alert-configuration,edit,functional,trackofy,video-telematics,,,,,,,"In the Update Video Alert dialog, Vehicle, Alert Type, Priority, Delivery Channels, and Delivery Mode are all disabled/read-only despite looking like normal editable controls; only Cooldown and Status are genuinely editable.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"Vehicle, Alert Type, Priority, Delivery Channels, and Delivery Mode are all disabled and cannot be changed; only Cooldown Minutes and Status remain interactive.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"All fields shown in the Edit dialog should be editable, consistent with the documented Edit Alert capability.",,,,,,,Video Telematics - Alert Configuration,,Web,,,0|i000mr:,,,High,,"1. Open Video Telematics > Alert Configuration.
2. Click Edit on an existing alert.
3. Attempt to change Vehicle, Alert Type, Priority, Delivery Channels, or Delivery Mode.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"[High] Multi-select filters start with every option pre-selected, so clicking one to isolate it actually deselects it instead",AS-184,11267,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 12:44 PM,07/Sep/26 4:27 PM,,,0,alert-configuration,filter,functional,report,trackofy,video-telematics,,,,,,"Alert Configuration's Vehicle filter and Report's Vehicle and Alert Type filters all default to every option already selected; clicking one option to isolate it toggles that option OFF, leaving every other option still selected -- the opposite of the intended filter.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The clicked option is deselected while every other option remains selected, showing every record EXCEPT the one just clicked -- confirmed on Alert Configuration's Vehicle filter and Report's Vehicle and Alert Type filters.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,Clicking a single option should filter the view to only that option.,,,,,,,Video Telematics - Alert Configuration / Report,,Web,,,0|i000mj:,,,High,,"1. Open Video Telematics > Alert Configuration (or Report).
2. Open the Vehicle (or Alert Type) multi-select filter, showing 'All' by default.
3. Click a single option to try to isolate it.
4. Observe the resulting filtered list.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
[Low] Raise Support Ticket's Comment field ignores any programmatic value change -- only real keystrokes register,AS-180,11263,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Low,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 12:06 PM,,,,0,input-handling,misc,raise-ticket,support,trackofy,usability,,,,,,"The Comment textarea never registers a value set via a standard programmatic value+input-event write; only genuine keystroke-by-keystroke input updates the value, counter, and Angular form state.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,Only real per-character keystrokes register; programmatic/paste-style value changes leave the field looking empty/untouched with the counter still at 0/200.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The field should register a value change regardless of the input method (typing, paste, autofill, voice-to-text, etc.).",,,,,,,Miscellaneous Pages - Support,,Web,,,0|i000ln:,,,Low,,"1. Open Profile > Support > Raise Ticket.
2. Attempt to set the Comment field's value via paste, autofill, or another non-keystroke method.
3. Observe the field's value and the character counter.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"[CRITICAL] Raise Support Ticket cannot be submitted -- vehicle counter never updates, and Submit stays permanently disabled on a fully valid form",AS-179,11262,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Highest,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 12:52 PM,,,,0,blocker,functional,misc,raise-ticket,support,trackofy,,,,,,"The 'X selected' vehicle counter in Raise Support Ticket never updates from '0 selected' despite real selections registering at the component level, and the Submit Ticket button never enables even with every field genuinely valid (no visible errors anywhere), verified across four different input methods.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The counter stays at '0 selected' regardless of real selection, and Submit Ticket never enables even on a fully valid form -- the ticket cannot be submitted through the UI.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The selected-count indicator should reflect the real selection, and Submit Ticket should enable once the form is genuinely valid.",,,,,,,Miscellaneous Pages - Support,,Web,,,0|i000lf:,,,Highest,,"1. Open Profile > Support > Raise Ticket.
2. Select one or more vehicles, a Category, a Severity, and enter a valid Comment, Email, and Mobile.
3. Observe the selected-count indicator and the Submit Ticket button.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"At mobile viewport widths, the Account menu is not reachable through any UI control",AS-178,11261,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 1:41 PM,,,,0,account-menu,misc,mobile,responsive,security,trackofy,ux,,,,,"At a 390x844 mobile viewport, the desktop Account-menu avatar button becomes invisible and no alternative control opens My Profile, Support, Change Password, Language, or Sign Out.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The desktop avatar button is invisible; the mobile hamburger only toggles the primary nav list. No control anywhere in the mobile layout opens the Account menu items, including Sign Out.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"A mobile-appropriate control should provide access to My Profile, Support, Change Password, Language, and Sign Out.",,,,,,,Miscellaneous Pages,,Web,,,0|i000l7:,,,High,,"1. Set the browser viewport to 390x844 (or a similar phone size).
2. Log in and look for the Account menu (avatar button).
3. Try the hamburger/menu toggle and any other visible control.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
[Low] No show/hide (eye) toggle on the Password / Confirm Password fields in the Create User wizard,AS-177,11260,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Low,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 12:01 PM,,,,0,administrator,create-user,password,trackofy,usability,,,,,,,"Step 1's Password and Confirm Password fields are plain type=password inputs with no visibility-toggle control, inconsistent with the User Management table's own working password-reveal toggle per row.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"No visibility toggle exists on either field in the wizard, though the same capability exists elsewhere in the module (User Management's per-row 'Show password').",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"A visibility toggle should be available, consistent with the same capability already present in the User Management table.",,,,,,,Administrator,,Web,,,0|i000kz:,,,Low,,"1. Open Administrator > Create User wizard, Step
1.
2. Locate the Password and Confirm Password fields.
3. Look for a visibility-toggle (eye) icon.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
User already exists' error for common usernames the account doesn't actually have -- appears globally scoped with a misleading message,AS-176,11259,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Chander Shekhar,712020:61d1f4c2-579c-4cb6-b9bd-d4311c398ce1,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 2:37 PM,,,,0,administrator,create-user,error-message,trackofy,usability,validation,,,,,,"Creating sub-users named 'test', 'admin', or 'demo' in an account with no such existing users all fail with 'user already exists' (app's own typo: user_alread_exist), while a more specific name is accepted normally; the underlying save call returns HTTP 200 even for the rejected names.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"All three common names are rejected as 'already exists' despite not existing in this account, suggesting a global (not per-account) uniqueness check with a misleading, account-scoped-sounding error message.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"Either the check should be scoped per-account, or the error message should clarify the collision is with a username taken elsewhere on the platform.",,,,,,,Administrator,,Web,,,0|i000kr:,,,Low,,"1. In an account with no users named 'test'/'admin'/'demo', open Administrator > Create User.
2. Attempt to create a user named 'test' (then 'admin', then 'demo').
3. Observe the error and the same-account user list.",,,,,,,,,V6.2,,,,,,,To Do,11/Sep/26 2:37 PM
Menu Access is only enforced by hiding nav items -- direct URL navigation reaches modules a sub-user was never granted,AS-173,11256,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 2:43 PM,,,,0,administrator,authorization,route-guard,security,trackofy,,,,,,,"A sub-user's Menu Access is implemented as client-side nav-item hiding only; navigating a sub-user directly to /settings/driver or /administrator by URL loads the real page shell, including a functional Administrator/User Management page for a sub-user never granted Administrator.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,The real page shell loads normally for both URLs; /administrator in particular loads a fully functional User Management page (showing '0 users') for a sub-user who should never be able to reach it under any configuration.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"Direct URL navigation to an ungranted module should be blocked/redirected (a real route guard), not just hidden from the nav.",,,,,,,Administrator,,Web,,,0|i000k3:,,,High,,"1. Create a sub-user with a menu group granting only Home/Dashboard/Tracking.
2. Log in as that sub-user.
3. Navigate directly to /administrator (or /settings/driver) by URL.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"[CRITICAL] Clicking 'Edit' on a user row opens a completely different, unrelated user's data",AS-172,11255,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Highest,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 2:19 PM,,,,0,access-control,administrator,data-integrity,edit-user,security,trackofy,,,,,,"Clicking a specific, searched-down-to-one user row's Edit action opens the Edit dialog pre-bound to a different, unrelated existing username instead of the clicked user, reproduced across independent sessions with a clean-overlay-state check ruling out a stale dialog.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The dialog opens titled for a different, unrelated pre-existing username ('Tarunn'), confirmed reproducible across independent sessions with zero pre-existing overlay panes before the click.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The Edit dialog should open bound to the exact user whose row's Edit action was clicked.,,,,,,,Administrator,,Web,,,0|i000jv:,,,Highest,,"1. Create or identify a specific sub-user in Administrator > User Management.
2. Search down to exactly that one matching row.
3. Click that row's Edit user action.
4. Observe the dialog title/bound user.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"Step 4's unit selector is a separate, unfiltered picker over the entire fleet, disconnected from Step 1's vehicle scope (confirmed harmless, UX-only)",AS-171,11254,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Low,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 11:57 AM,,,,0,administrator,create-user,trackofy,ux,wizard,,,,,,,"Step 4 (Unit Permission) lists the entire fleet regardless of Step 1's vehicle scope, with no visual indication of which options are actually in scope. Confirmed via a follow-up authorization test that the resulting permission has no real effect outside Step 1's scope.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,Step 4 shows the entire fleet (30+ other vehicles never chosen in Step 1) with no visual distinction of in-scope vs out-of-scope options.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,Step 4's unit list should be filtered to (or visually flag) Step 1's selected vehicle scope.,,,,,,,Administrator,,Web,,,0|i000jn:,,,Low,,"1. Open Administrator > Create User wizard.
2. In Step 1, select only one vehicle.
3. In Step 4, observe the unit selector's full option list.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"Add Group' on the Create User wizard re-fetches its static menu list from the API on every click, with no loading indicator or debounce",AS-170,11253,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,10/Sep/26 4:58 PM,,,,0,administrator,create-user,debounce,performance,trackofy,ui,,,,,,"Clicking 'Add Group' in Step 2 always re-fetches an effectively static menu list (multi-second unindicated delay) and has no debounce, so rapid clicks stack multiple duplicate dialogs.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,Every click re-issues the same API call with no loading feedback; rapid clicks stack one independent dialog per click (confirmed 1 -> 4 dialogs after 3 rapid clicks).,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The menu list should be fetched once and cached/reused; the button should be disabled or debounced while a fetch/dialog-open is in progress.,,,,,,,Administrator,,Web,,,0|i000jf:,,,Low,,"1. Open Administrator > Create User wizard, Step 2 (Menu Access).
2. Click 'Add Group' once and time the delay before the dialog appears.
3. Click 'Add Group' multiple times rapidly.
4. Count open dialogs.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
Closing the Create User wizard without clicking Submit still permanently creates the user,AS-169,11252,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 4:08 PM,,,,0,administrator,create-user,data-integrity,security,trackofy,wizard,,,,,,"Step 1 to Step 2 of the Create User wizard makes a real, immediate save API call; closing the wizard at any later point without ever clicking Submit does not roll back the already-created user.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"A real, permanent user account is created with default/empty authorization the moment Step 1's Next Step is clicked, regardless of whether the wizard is ever completed or submitted.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"A user should only be considered created after the final Submit succeeds, per the module's own design intent.",,,,,,,Administrator,,Web,,,0|i000j7:,,,High,,"1. Open Administrator > Create User.
2. Fill Step 1 and click Next Step.
3. Progress through further steps without configuring menu/permissions if desired.
4. Close the wizard via the 'X' icon instead of clicking Submit.
5. Check User Management.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
A 'Map only' GeoLink still exposes the vehicle's identifying registration number to anonymous visitors,AS-168,11251,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 4:04 PM,,,,0,geolinks,home,information-disclosure,security,trackofy,,,,,,,Creating a 'Map only' GeoLink (promised as 'vehicle location without details') and opening its public URL in an unauthenticated context shows the vehicle's full registration/identifying string anyway.,,divakar,Smriti Singh,712020:63217d10-ba4d-43b3-932b-edc4035eb689,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,,,,,,,,,,,"The vehicle's full registration/identifying string is shown directly on the page, alongside status and distance -- contradicting the access level's own stated promise.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"A 'Map only' link should show only an anonymous location pin, with no vehicle-identifying details.",,,,,,,Home - GeoLinks,,Web,,,0|i000iz:,,,High,,"1. Open Home > GeoLinks.
2. Create a 'Map only' share link for a vehicle.
3. Open the real public URL in a fresh, unauthenticated browser context (no login/cookies).
4. Observe the page content.",,,,,,,,,V6.2,,,2026-09-11 10:34:08.28,,"11/Sep/26 4:04 PM;712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd;As the geolinks are shared to external user with no idea of trackofy portal and vehicle, not showing even the basic detail will cause confusion so it is needed to do that way.",,To Do,07/Sep/26 3:26 PM
Two of a Group's five status chips ('Active' and 'No Data') always filter Fleet to zero vehicles,AS-167,11250,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 5:10 PM,,,,0,filter,fleet,functional,groups,home,trackofy,,,,,,"On Home's Groups tab, clicking the 'Active' or 'No Data' status chip always filters Fleet to 0 vehicles regardless of the group or the chip's own displayed count; Running/Idle/Stopped work correctly.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"Fleet always shows 0 vehicles for 'Active' and 'No Data' chips, confirmed across multiple groups and both large and single-vehicle samples.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"Clicking a status chip should filter Fleet to the matching vehicles, consistent with the chip's own count.",,,,,,,Home,,Web,,,0|i000ir:,,,High,,"1. Open Home > Groups tab.
2. Click the 'Active (N)' or 'No Data (N)' chip on any group card.
3. Observe the filtered Fleet list.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
KPI Settings' 'Select All' paradoxically deselects down to the protected minimum when already fully selected,AS-166,11249,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,10/Sep/26 11:02 PM,10/Sep/26 11:15 PM,,,0,data-loss,functional,home,kpi,settings,trackofy,,,,,,"Clicking 'Select All' in Home's KPI Settings while already at full selection (10/10) drops the selection down to the protected minimum (6) instead of staying at 10, with no relabeling of the button.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The selection drops to the protected minimum of 6, silently removing 4 KPIs once Save is clicked.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,Clicking 'Select All' while already fully selected should be a no-op (stay at 10 selected).,,,,,,,Home,,Web,,,0|i000ij:,,,High,,"1. Open Home > KPI Settings with all 10 KPIs already selected.
2. Click 'Select All' again.
3. Click Save.
4. Observe the header KPIs.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
"Fleet Summary with all vehicles selected hangs on 'Generating...' forever, even though both backend calls succeed",AS-165,11248,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 6:07 PM,,,,0,blocker,fleet-summary,functional,reports,select-all,trackofy,ui,,,,,"Selecting all vehicles via 'Select All' for Fleet Summary and generating never renders a result, despite both underlying API calls returning HTTP 200 -- the frontend never transitions out of the loading state.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The Generate button stays permanently on 'Generating...'; the table shows a static loading skeleton with 0 real rows bound, despite both backend calls succeeding.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The report/KPI cards should render using the successfully-returned data.,,,,,,,Reports,,Web,,,0|i000ib:,,,High,,"1. Open Reports > Standard > Fleet Summary.
2. Click 'Select All' to select all vehicles.
3. Click Generate.
4. Wait 45+ seconds.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
A failed report-generation request leaves the UI permanently stuck on 'Generating...',AS-164,11247,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,09/Sep/26 6:25 PM,,,,0,error-handling,functional,reports,trackofy,ui,,,,,,,"If the report-table API call fails at the network level, the Generate button switches to 'Generating...' and never recovers -- no error, no retry, no timeout handling.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,The button permanently shows 'Generating...' with no error message or retry affordance; the only escape is leaving the report form.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The UI should show an error/retry state after a failed request, not remain stuck loading indefinitely.",,,,,,,Reports,,Web,,,0|i000i3:,,,High,,"1. Open any Standard Report.
2. Simulate/encounter a network failure during Generate (e.g. connection drop).
3. Observe the Generate button.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
